step,pred_aqi,true_aqi
1,76.06767272949219,88.0
2,70.97470092773438,79.0
3,72.01348876953125,69.0
4,72.30098724365234,60.0
5,71.2697982788086,59.0
6,69.82276153564453,60.0
7,68.63710021972656,60.0
8,68.00387573242188,60.0
9,67.81068420410156,60.0
10,67.67743682861328,60.0
11,67.54806518554688,60.0
12,64.68785095214844,60.0
